title,created_at,user_id,username,category_name,subcategory_name
Extreme bleeding and crippling cramping at 6 weeks. I went to the ER and they did an outer ultrasound which gave an inconclusive result. How do I handle this?,2017-01-01T19:39:14.582Z,1276101,ribbabies,PREGNANCY,FIRST TRIMESTER
Is bug spray (with DEET) safe to use during pregnancy?,2016-06-28T13:56:01.000Z,426531,bumpeditors,PREGNANCY,FIRST TRIMESTER
When can I go back to the gym after a C-section?,2016-04-27T13:36:09.000Z,48586,nely123,PREGNANCY,FIRST TRIMESTER
What can I do to help fight fatigue? I’m tired all the time!,2016-02-18T22:45:48.000Z,164029,peasNcarrots45,PREGNANCY,FIRST TRIMESTER
When should your first OB appointment happen?,2015-12-21T14:18:24.000Z,48339,Sj2016wingnut,PREGNANCY,FIRST TRIMESTER
When does morning sickness start?,2015-11-25T06:23:47.000Z,42,bumpie123,PREGNANCY,FIRST TRIMESTER
What can pregnant women take for a cold?,2015-11-25T05:56:13.000Z,42,bumpie123,PREGNANCY,FIRST TRIMESTER
My wife just called me weeping because she found out the prenatal vitamins that an old doctor prescribed have 4000mg of Vitamin A.,2018-05-09T13:52:06.862Z,2367187,knottiec7b2aeb4d3306a36,PREGNANCY,FIRST TRIMESTER
When did you start feeling your stomach getting harder or developing a bump when you feel it?,2018-04-05T02:01:19.794Z,2327310,thehikingmomma,PREGNANCY,FIRST TRIMESTER
I am 7 weeks pregnant and my boss just told me that my position is being eliminated. Is that legal? ,2018-03-28T02:09:24.898Z,2323461,knottie1706938793588e48,PREGNANCY,FIRST TRIMESTER
Worried about ectopic pregnancy or am I miscarrying?,2018-05-14T10:06:52.192Z,2413967,jazzjarv,PREGNANCY,FIRST TRIMESTER
I had an ultrasound at 9 weeks and it showed a strong heartbeat (169 bpm). We even saw the baby moving! Has my risk of miscarriage gone down now that there's a confirmed heartbeat?,2018-04-28T11:17:28.678Z,2323057,alpha_mama,PREGNANCY,FIRST TRIMESTER
I’m nine weeks pregnant and went in for my first ultrasound where they couldn’t find the baby. I have had no spotting or cramping. Is this normal? Should I be concerned?,2018-05-02T00:44:19.729Z,2327929,ohhappygrey,PREGNANCY,FIRST TRIMESTER
Disappointing first prenatal appointment. Is this what they’re all like? ,2018-05-02T01:24:38.415Z,2367023,knottiec6929616e838d531,PREGNANCY,FIRST TRIMESTER
"We were going to share our news with our families this week, but just got an inconclusive NIPT ( not enough fetal blood). FTM, age will be 35 at delivery..Have you been here?",2018-05-07T20:27:42.682Z,2355652,knottieec4aefd8e19e019a,PREGNANCY,FIRST TRIMESTER
"Those of you who have had a miscarriage, what were your symptoms? ",2018-04-17T23:51:01.394Z,2333987,knottie76e191f0bfc345ed,PREGNANCY,FIRST TRIMESTER
"I went for my first ultrasound yesterday to confirm due dates, I should be over 8 weeks but only measuring 6 weeks 5 days and no sign of heart beat. Is something wrong?",2018-05-04T22:58:41.549Z,2346220,knottief3690320f47186a5,PREGNANCY,FIRST TRIMESTER
I am 8 weeks pregnant and my stomach still isn’t hard is that normal shouldn’t it be hard by now ?,2018-04-12T19:48:05.157Z,2324784,nati1121,PREGNANCY,FIRST TRIMESTER
Prenatals?,2018-05-16T01:54:36.970Z,2393594,knottie7a3192b1c0f76243,PREGNANCY,FIRST TRIMESTER
"I'm only 8 weeks, my mom does not let me carry anything over 10 pounds. Why is it not ok to carry heavy items?",2018-05-07T16:39:02.508Z,2401367,passion08,PREGNANCY,FIRST TRIMESTER
When is it safe to tell friends you're pregnant?,2018-04-26T00:05:13.902Z,2368684,knottie3203c501b90034e7,PREGNANCY,FIRST TRIMESTER
Im around 10 weeks and im not showing?,2018-05-09T00:34:01.583Z,2403979,hstevens14,PREGNANCY,FIRST TRIMESTER
Can a CT scan before implantation affect the embryo?,2018-05-15T17:54:41.164Z,2413757,Shamseyah,PREGNANCY,FIRST TRIMESTER
What do I do I’m so heartbroken and scared?,2018-05-09T15:56:20.950Z,2317381,lolo1820,PREGNANCY,FIRST TRIMESTER
I'm 6 weeks and I'm gay and I love sex toy is it safe to use them?,2018-04-23T09:34:46.860Z,2343251,lovebugs142414,PREGNANCY,FIRST TRIMESTER
when’s the earliest any of you have felt the baby kick? ,2018-03-08T23:37:52.448Z,1401453,ashleyncole-2,PREGNANCY,FIRST TRIMESTER
Hypothyroidism at eight weeks?  What are the chances hypothyroidism has impacted my baby's development?,2018-05-11T21:13:20.829Z,2378692,knottie5749751b8e036cc7,PREGNANCY,FIRST TRIMESTER
"I told my boyfriend that I would like to spend time alone with my daughter in the hospital when she is first born. I am a FTM. He freaked out immediately, no chance to explain?",2018-04-28T16:16:52.448Z,2272079,alexah92,PREGNANCY,FIRST TRIMESTER
What are the best drinks to drink when pregnant? This is my first pregnancy and I'm at 12 weeks now. I'm making a shopping list and a little lost with what to buy to drink.,2018-05-04T22:19:30.949Z,2395562,knottie5c4fd67998037f0f,PREGNANCY,FIRST TRIMESTER
I am 7 weeks and my doctor has phoned and wants to see me to discuss my results?,2018-04-17T05:41:57.490Z,2325278,ashwal96,PREGNANCY,FIRST TRIMESTER
*TRIGGER WARNING* I just found out I was pregnant literally 2 days ago. I had a miscarriage 7 months ago and my doctor said my next pregnancy will be high risk?,2018-05-15T04:40:43.821Z,2415912,knottie57a603e472d2bd64,PREGNANCY,FIRST TRIMESTER
For the first 6 weeks I was super nauseous. All of the sudden- no more nausea and I’m 8 weeks. I’m afraid I’ve miscarried with no symptoms?,2018-04-30T04:12:10.986Z,2321670,KatieE86,PREGNANCY,FIRST TRIMESTER
I’m 7 weeks pregnant tomorrow and I’ve already gained 5 pounds. I’m already overweight so i don’t want to gain much more. What should I eat to maintai ln or even lose weight? ,2018-03-15T12:56:20.005Z,2277881,knottie10da8772e7ef1c21,PREGNANCY,FIRST TRIMESTER
